Intention,Risk,Age,Sex,Race,Student,Income,Treatment,Payment,,Mean,Random
Interesados,9,18-10,Femenino,Mestiza,Sí,2001 o más,Mean,6.55,Mujeres,35,37
Racionales,6,19-11,Femenino,Mestiza,Sí,2001 o más,Mean,7.36,Hombres,23,23
Irracionales,0,22-5,Femenino,Mestiza,No,1601 a 2000,Mean,7.29,Mes,53,53
Interesados,6,18-8,Masculino,Mestiza,Sí,2001 o más,Mean,7.8,No Mes,5,7
Racionales,4,23-4,Masculino,Indígena,Sí,1201 a 1600,Mean,6.88,estud,48,55
Racionales,7,20-6,Femenino,Mestiza,Sí,2001 o más,Mean,6.13,2001mas,27,17
Racionales,6,20-1,Masculino,Mestiza,Sí,2001 o más,Mean,6.9,,,
Racionales,7,20,Femenino,Mestiza,Sí,1201 a 1600,Mean,6.91,,,
Irracionales,6,24-6,Masculino,Mestiza,Sí,2001 o más,Mean,7.2,,,
Racionales,8,19,Femenino,Mestiza,Sí,2001 o más,Mean,6.79,,,
Irracionales,7,22,Femenino,Mestiza,Sí,1601 a 2000,Mean,6.55,,,
Interesados,8,20-8,Masculino,Mestiza,Sí,2001 o más,Mean,7.17,,,
Cooperativos,8,23-8,Masculino,Mestiza,Sí,1201 a 1600,Mean,7.11,,,
Interesados,7,24-4,Femenino,Mestiza,No,401 a 800,Mean,6.92,,,
Cooperativos,9,23,Femenino,Blanca,No,1201 a 1600,Mean,7.58,,,
Interesados,7,31-8,Femenino,Mestiza,No,2001 o más,Mean,7.43,,,
Racionales,6,20-4,Femenino,Mestiza,Sí,801 a 1200,Mean,7.78,,,
Racionales,8,19-6,Femenino,Mestiza,Sí,801 a 1200,Mean,6.28,,,
Irracionales,5,18-10,Masculino,Mestiza,Sí,801 a 1200,Mean,8.11,,,
Cooperativos,6,21-7,Femenino,Mestiza,Sí,801 a 1200,Mean,6.92,,,
Racionales,7,20-9,Masculino,Mestiza,Sí,2001 o más,Mean,7.02,,,
Irracionales,6,22,Femenino,Mestiza,Sí,2001 o más,Mean,7.07,,,
Cooperativos,5,22-2,Femenino,Mestiza,No,1201 a 1600,Mean,6.63,,,
Irracionales,5,25-2,Femenino,Mestiza,No,801 a 1200,Mean,7.08,,,
Cooperativos,7,23-10,Femenino,Mestiza,Sí,2001 o más,Mean,7.03,,,
Interesados,5,18,Femenino,Mestiza,Sí,2001 o más,Mean,7.88,,,
Irracionales,6,20-1,Femenino,Mestiza,Sí,801 a 1200,Mean,7.23,,,
Interesados,5,21-6,Femenino,Mestiza,Sí,1601 a 2000,Mean,7.32,,,
Racionales,8,20-7,Femenino,Mestiza,Sí,801 a 1200,Mean,7.2,,,
Racionales,5,20-9,Femenino,Mestiza,Sí,2001 o más,Mean,7.11,,,
Cooperativos,7,21-9,Masculino,Mestiza,Sí,2001 o más,Mean,7.33,,,
Cooperativos,5,21,Femenino,Mestiza,Sí,801 a 1200,Mean,6.96,,,
Interesados,8,22,Femenino,Mestiza,Sí,1201 a 1600,Mean,6.76,,,
Cooperativos,7,22,Femenino,Indígena,Sí,400 o menos,Mean,5.98,,,
Generosos,10,19,Masculino,Mestiza,Sí,801 a 1200,Mean,5.24,,,
Racionales,8,20-1,Masculino,Mestiza,Sí,2001 o más,Mean,6.5,,,
Racionales,7,26-1,Masculino,Mestiza,Sí,1201 a 1600,Mean,5.42,,,
Racionales,7,25-3,Femenino,Indígena,Sí,400 o menos,Mean,6.35,,,
Cooperativos,10,28-6,Masculino,Mestiza,Sí,2001 o más,Mean,6.89,,,
Cooperativos,10,21-2,Masculino,Mestiza,Sí,1201 a 1600,Mean,6.58,,,
Generosos,9,19-4,Femenino,Mestiza,Sí,2001 o más,Mean,6.82,,,
Interesados,7,19-7,Masculino,Mestiza,Sí,2001 o más,Mean,6.71,,,
Racionales,7,20-6,Masculino,Mestiza,No,1601 a 2000,Mean,6.21,,,
Irracionales,8,20-2,Masculino,Mestiza,Sí,2001 o más,Mean,6.2,,,
Racionales,8,21-7,Masculino,Mestiza,Sí,2001 o más,Mean,6.89,,,
Racionales,8,26-2,Femenino,Mestiza,No,400 o menos,Mean,6.94,,,
Irracionales,9,20-5,Masculino,Mestiza,Sí,2001 o más,Mean,5.66,,,
Interesados,7,20-0,Femenino,Mestiza,Sí,801 a 1200,Mean,7,,,
Generosos,10,33,Femenino,Mestiza,No,2001 o más,Mean,7.75,,,
Hostiles,5,21-0,Femenino,Mestiza,Sí,1601 a 2000,Mean,6.42,,,
Hostiles,6,19-2,Masculino,Mestiza,Sí,2001 o más,Mean,6.52,,,
Irracionales,4,24-9,Masculino,Mestiza,No,1601 a 2000,Mean,7.29,,,
